101;03;5.3;5.2
101;05;8.0;9.9
102;06;5.3;9.2
102;02;9.7;7.1
103;06;9.6;5.6
103;03;7.6;6.9
103;08;6.3;5.7
104;08;6.2;7.3
104;03;7.7;5.2
104;07;6.4;8.3
105;06;7.4;8.4
105;05;5.1;8.2
105;09;8.0;6.8
106;01;9.5;6.3
106;05;5.7;7.8
106;06;8.6;7.3
106;07;7.9;8.7
107;07;5.4;7.8
107;05;7.8;6.1
107;08;9.9;5.3
108;03;5.3;5.2
108;05;8.0;9.9
109;06;5.3;9.2
109;02;9.7;7.1
110;06;9.6;5.6
110;03;7.6;6.9
111;08;6.3;5.7
111;08;6.2;7.3
112;03;7.7;5.2
112;07;6.4;8.3
113;06;7.4;8.4
113;05;5.1;8.2
114;09;8.0;6.8
114;01;9.5;6.3
115;05;5.7;7.8
115;06;8.6;7.3
116;07;7.9;8.7
116;07;5.4;7.8
117;05;7.8;6.1
117;08;9.9;5.3
118;03;5.3;5.2
118;05;8.0;9.9
119;06;5.3;9.2
119;02;9.7;7.1
120;06;9.6;5.6
120;03;7.6;6.9
121;08;6.3;5.7
121;08;6.2;7.3
122;03;7.7;5.2
122;07;6.4;8.3
123;06;7.4;8.4
123;05;5.1;8.2
124;09;8.0;6.8
124;01;9.5;6.3
125;05;5.7;7.8
125;06;8.6;7.3
126;07;7.9;8.7
126;07;5.4;7.8
127;05;7.8;6.1
127;08;9.9;5.3
128;05;5.5;8.3
128;04;4.2;7.8
129;06;8.8;8.5
129;07;7.5;7.0
130;09;4.9;5.4
130;01;6.8;6.0
